model,sku_id,n_samples,mean_true,mean_pred,RMSE,MAE,MAPE,RMSLE
Random Forest,216418,1904,86.97006302521008,86.6621743697479,29.515630056752283,18.155241596638657,31.422300787235415,0.34865671540081095
Random Forest,216419,1876,62.72974413646055,63.26482942430704,19.71305095983342,13.915309168443496,32.96325888902513,0.35190829162611353
Random Forest,216425,1848,34.765151515151516,35.38314069264069,17.178002439821423,11.62312987012987,59.2627732123008,0.5063407511518062
Random Forest,217217,728,22.925824175824175,25.160604395604395,13.544855537747958,9.580934065934066,66.94562598159374,0.5478517815329172
Random Forest,217390,1960,66.8576530612245,65.09954591836734,23.960401272362972,15.516311224489794,29.871603697115667,0.3320022529525678
Random Forest,217777,560,25.7875,27.640571428571427,13.19694640004703,9.684571428571427,58.33965478759248,0.5008090793966586
Random Forest,219009,2100,90.93904761904761,103.10155238095238,85.66152461036067,31.935685714285714,34.493598333962524,0.38104639627146625
Random Forest,219029,2044,45.8238747553816,46.028114807566865,19.052195237508027,10.916836268754077,32.43319731180736,0.35491589130435636
Random Forest,219844,784,26.604591836734695,29.689170918367346,14.29686616956346,10.597589285714289,74.88401093235034,0.5778286028168338
Random Forest,222087,2016,67.40376984126983,73.24855158730158,45.08751539334628,23.581875,46.30549038512671,0.44912727835805977
Random Forest,222765,1932,58.2851966873706,54.09081262939959,35.516926921617056,17.845398550724635,36.14469747636074,0.39836164078825803
Random Forest,223153,1624,72.39901477832512,73.74064655172414,49.10843888074825,24.09682881773399,43.46841291245976,0.44541540842537536
Random Forest,223245,2044,60.827788649706456,56.8205675146771,37.72830389864476,20.55876712328767,43.585971039815995,0.4526358215436514
Random Forest,245338,1792,36.642299107142854,39.91033482142857,28.804178888289307,17.4334375,74.26722416463346,0.5922115864434463
Random Forest,245387,1204,28.680232558139537,33.264215116279075,25.380929579439073,15.04311877076412,95.51494195466795,0.6590664376604134
Random Forest,300021,1260,37.26904761904762,39.92590476190476,15.270113922507232,10.801,51.100118189542044,0.46740096671293435
Random Forest,300291,252,17.273809523809526,19.975714285714286,10.61806191773663,7.158730158730159,75.4427736971635,0.5651774756469937
Random Forest,320485,1204,32.08637873754153,39.59632475083056,22.043840796180284,12.815685215946845,63.110041198148714,0.5087627484047272
Random Forest,327492,56,12.267857142857142,14.702678571428573,8.496526496163005,5.911964285714285,88.11974105967644,0.603463004115435
Random Forest,378934,980,24.13061224489796,32.38494897959184,20.141243919695057,11.657255102040818,75.96899904973858,0.5600941460966581
Random Forest,398721,504,22.73015873015873,27.612400793650796,19.201766230971796,11.991448412698414,108.26838729336556,0.6823194982912588
Random Forest,545621,28,17.178571428571427,16.985714285714288,6.490834196883215,5.151428571428572,48.96606152989838,0.44511935909140476
Random Forest,546789,196,22.382653061224488,24.49020408163265,9.71907287507509,6.425918367346939,39.86198792290094,0.377064534690947
Random Forest,547934,868,19.09562211981567,19.162361751152073,10.824343377878032,6.820103686635944,62.98591089125679,0.5035850461663967
Random Forest,600934,196,16.755102040816325,20.21801020408163,17.017793134342224,8.85280612244898,90.59295542158121,0.6195034322559273
Random Forest,673209,56,22.857142857142858,21.834464285714287,9.24044690091185,7.343392857142858,90.35689014904116,0.5837039597897319
Random Forest,679023,252,15.432539682539682,17.3368253968254,7.6038230776909455,5.814761904761905,80.74341966697381,0.5536910106578886
XGBoost,216233,2072,45.46380308880309,48.91539001464844,19.099166007242555,12.859894604641498,36.20527780132976,0.3822400326607697
XGBoost,216418,1904,86.97006302521008,85.43577575683594,27.137069745611562,17.590023706189726,29.891704063849694,0.3394422862590144
XGBoost,216419,1876,62.72974413646055,62.41465759277344,19.36832213272863,13.791261581215522,31.805235658477233,0.3476292616976073
XGBoost,216425,1848,34.765151515151516,36.92742156982422,16.713219783556397,11.59135717618001,61.528970943403415,0.5125564337982431
XGBoost,217217,728,22.925824175824175,23.732866287231445,12.774283843198033,9.101240012671921,63.89181601196457,0.5404560269145916
XGBoost,217390,1960,66.8576530612245,66.80390930175781,22.306650772839614,15.068823414432758,30.239491675662872,0.3371616164645408
XGBoost,217777,560,25.7875,25.904863357543945,13.076682203787572,9.46768632701465,57.33459444266019,0.5053459998201563
XGBoost,219009,2100,90.93904761904761,104.93310546875,72.46312006514633,31.201424900236585,34.16868695717355,0.3857944485257927
XGBoost,219029,2044,45.8238747553816,47.761962890625,25.348389396071546,13.205427797806474,34.55664468742148,0.3859758441342693
XGBoost,219844,784,26.604591836734695,28.245229721069336,14.267767996793385,10.642165561719816,75.57372160459306,0.5847099849435945
XGBoost,222087,2016,67.40376984126983,70.44097137451172,38.56826197844329,21.088801126513218,42.63696169700884,0.4317031814333213
XGBoost,222765,1932,58.2851966873706,51.26784896850586,34.70677747541792,17.448969854577975,33.948527841392696,0.40529710796950263
XGBoost,223153,1624,72.39901477832512,72.49427032470703,46.67917918430216,23.318494552663836,43.020555000978405,0.46063768754780393
XGBoost,223245,2044,60.827788649706456,56.262428283691406,36.47321616773781,21.00971880187727,43.418664480090385,0.4709058378661725
XGBoost,245338,1792,36.642299107142854,39.94281005859375,25.00760869703631,15.325514523512018,65.74680096302679,0.5388590116926585
XGBoost,245387,1204,28.680232558139537,31.382266998291016,21.51407595749575,13.104027564145403,86.90505251626834,0.6292786563174336
XGBoost,300021,1260,37.26904761904762,38.68534851074219,15.092605680976147,10.436322101714119,47.94380015054772,0.4560787328443566
XGBoost,300291,252,17.273809523809526,17.08159637451172,10.010874255262642,7.308011002956875,63.98440899487434,0.6854747252026673
